SKU,Description,Warehouse,Wire,Trailer,FN_Assy,Final Station,PDI,QC,Ship,ETO,Bat,Last Modified
PDS185EZ-007,"PDS185S-6EZ1 W/UNDERCARRIAGE 2"" BULLDOG BALL HITCH BLU DOOR ASSEMBLY",5.0,0.0,0.0,120.0,ComAcc,15.0,30.0,30.0,0,0.0,
PDS185S-001,"PDS185S-6E1 W/UNDERCARRIAGE 2"" BALL HITCH BLU DOOR ASSEMBLY",5.0,0.0,0.0,120.0,ComAcc,15.0,30.0,30.0,0,0.0,
PDS185S-002,"PDS185S-6E1 W/UNDERCARRIAGE 2-5/16"" BALL HITCH BLU DOOR ASSEMBLY",5.0,0.0,0.0,120.0,ComAcc,15.0,30.0,30.0,0,0.0,
PDS185S-003,"PDS185S-6E1 W/UNDERCARRIAGE 3"" RING HITCH BLU DOOR ASSEMBLY",5.0,0.0,0.0,120.0,ComAcc,15.0,30.0,30.0,0,0.0,
PDS185S-004,"PDS185S-6E1 W/UNDERCARRIAGE 2"" BALL HITCH WHT DOOR ASSEMBLY",5.0,0.0,0.0,120.0,ComAcc,15.0,30.0,30.0,0,0.0,
PDS185S-005,"PDS185S-6E1 W/UNDERCARRIAGE 2-5/16"" BALL HITCH WHT DOOR ASSEMBLY",5.0,0.0,0.0,120.0,ComAcc,15.0,30.0,30.0,0,0.0,
PDS185S-006,"PDS185S-6E1 W/UNDERCARRIAGE 3"" RING HITCH WHT DOOR ASSEMBLY",5.0,0.0,0.0,120.0,ComAcc,15.0,30.0,30.0,0,0.0,
PDS185S-007,"PDS185S-6E1 W/UNDERCARRIAGE 2"" BULLDOG BALL HITCH BLU DOOR ASSEMBLY",5.0,0.0,0.0,120.0,ComAcc,15.0,30.0,30.0,0,0.0,
PDS310DP-001,"PDSG310DP-6E1 W/UNDERCARRIAGE SURGE 2"" BALL HITCH ASSEMBLY",5.0,0.0,0.0,315.0,ComAcc,15.0,30.0,30.0,0,0.0,
PDS310DP-002,"PDSG310DP-6E1 W/UNDERCARRIAGE ELECTRIC 2"" BALL HITCH ASSEMBLY",5.0,0.0,0.0,270.0,ComAcc,15.0,30.0,30.0,0,0.0,
PDS310DP-003,"PDSG310DP-6E1 W/UNDERCARRIAGE SURGE 2-5/16"" BALL HITCH ASSEMBLY",5.0,0.0,0.0,315.0,ComAcc,15.0,30.0,30.0,0,0.0,
PDS310DP-004,"PDSG310DP-6E1 W/UNDERCARRIAGE ELECTRIC 2-5/16"" BALL HITCH ASSEMBLY",5.0,0.0,0.0,270.0,ComAcc,15.0,30.0,30.0,0,0.0,
PDS310DP-005,"PDSG310DP-6E1 W/UNDERCARRIAGE SURGE 3"" RING HITCH ASSEMBLY",5.0,0.0,0.0,315.0,ComAcc,15.0,30.0,30.0,0,0.0,
