SKU,Description,Warehouse,AccKIT,Nameplate Prep,BattSubRaw,PMAcc,GenAcc,Compressor,Last Modified
PDS400SA-001,PDS400S6E1 BHW EBH ACCESSORY KIT,15.0,15.0,0.0,0.0,0.0,0.0,65.0,
PDS400SA-002,PDS400S6E1 BHW EBH OES ACCESSORY KIT,20.0,20.0,0.0,0.0,0.0,0.0,110.0,
PDS400SA-003,PDS400S6E1 BHW EBH OES TEL ACCESSORY KIT,10.0,10.0,0.0,0.0,0.0,0.0,163.0,
PDS400SA-004,PDS400S6E1 EBH OES ACCESSORY KIT,10.0,10.0,0.0,0.0,0.0,0.0,90.0,
PDS400SA-005,PDS400S6E1 EBH TEL ACCESSORY KIT,20.0,20.0,0.0,0.0,0.0,0.0,98.0,
PDS400SA-006,PDS400S6E1 EBH OES TEL UR DECAL ACCESSORY KIT,15.0,15.0,0.0,0.0,0.0,0.0,158.0,
PDS400SA-007,PDS400S6E1 OES TEL UR DECAL ACCESSORY KIT,25.0,25.0,0.0,0.0,0.0,0.0,113.0,
PDS400SC-A001,PDS400SC6E1 BHW EBH TELFS SUNSTATE DECAL ACCESSORY KIT,30.0,30.0,0.0,0.0,0.0,0.0,253.0,
PDSF750-A001,PDSF750DP6E1 CCV EBH HFF HR OES TEL UR DECAL ACCESSORY KIT,45.0,45.0,0.0,0.0,0.0,0.0,323.0,
PDSF750-A002,PDSF750DP6E1 BHW CCV EBH HFF HR LRH OES TEL UR DECAL ACCESSORY KIT,15.0,15.0,0.0,0.0,0.0,0.0,404.0,
PDSF750-A003,PDSF750DP6E1 EBH OES UR DECAL ACCESSORY KIT,20.0,20.0,0.0,0.0,0.0,0.0,105.0,
PDSF750-A004,PDSF750DP6E1 BHW CCV EBH HFF ACCESSORY KIT,15.0,15.0,0.0,0.0,0.0,0.0,230.0,
PDSF750-A005,PDSF750DP6E1 EBH TELT3 ES DECAL ACCESSORY KIT,30.0,30.0,0.0,0.0,0.0,0.0,113.0,
PDSF750-A006,PDSF750DP6E1 CCV EBHI HFF HR OES TEL UR DECAL ACCESSORY KIT,20.0,20.0,0.0,0.0,0.0,0.0,323.0,
PDSF750-A007,PDSF750DP6E1 CCV TELFS SUNSTATE DECAL ACCESSORY KIT,30.0,30.0,0.0,0.0,0.0,0.0,278.0,
PDSF750-A008,PDSF750DP6E1 BHW CCV EBH HFF HR LRH ACCESSROY KIT,5.0,5.0,0.0,0.0,0.0,0.0,291.0,
BOSS125-A001,EBOSS 12565 HYBRID CWP ACCESSORY PACKAGE,10.0,10.0,0.0,0.0,60.0,230.0,0.0,
BOSS125-A002,EBOSS 12565 HYBRID CSA EH 600V ACCESSORY PACKAGE,35.0,35.0,0.0,0.0,60.0,60.0,0.0,
BOSS125-A004,EBOSS 12565 HYBRID BHW BD CCV CSA EBH EH HFF ACCESSORY PACKAGE,15.0,15.0,0.0,0.0,60.0,301.0,0.0,
BOSS125-A005,EBOSS 12565 HYBRID BD CSA CWP ACCESSORY PACKAGE,10.0,10.0,0.0,0.0,60.0,265.0,0.0,
BOSS125-A007,EBOSS 12565 HYBRID CSA EH ACCESSORY PACKAGE,5.0,5.0,0.0,0.0,60.0,60.0,0.0,
BOSS125-A008,EBOSS 12565 HYBRID CWP 240V 1P XFRM ACCESSORY PACKAGE,15.0,15.0,0.0,0.0,60.0,230.0,0.0,
BOSS125-A009,EBOSS 12565 HYBRID CCV HFF EH ACCESSORY PACKAGE,15.0,15.0,0.0,0.0,60.0,210.0,0.0,
BOSS125-A010,EBOSS 12565 HYBRID EH HERC DECAL ACCESSORY PACKAGE,30.0,30.0,0.0,0.0,60.0,60.0,0.0,
BOSS125-A011,EBOSS 12565 HYBRID BHW CSA EBH EH HFF 600V TB ACCESSORY PACKAGE,5.0,5.0,0.0,0.0,60.0,680.0,0.0,
BOSS125-A012,EBOSS 12565 HYBRID AWP ACCESSORY PACKAGE,15.0,15.0,0.0,0.0,60.0,275.0,0.0,
BOSS125-A014,EBOSS 12565 HYBRID AWP CSA ACCESSORY PACKAGE,15.0,15.0,0.0,0.0,60.0,290.0,0.0,
BOSS125-A013,EBOSS 12565 HYBRID AWP CSA 6V TB ACCESSORY PACKAGE,35.0,35.0,0.0,0.0,60.0,770.0,0.0,
BOSS125-A003,EBOSS 12565 HYBRID BHW BD CCV CSA EBH EH HFF 6V ACCESSORY PACKAGE,5.0,5.0,0.0,0.0,60.0,301.0,0.0,
BOSS220-A001,EBOSS 220125 HYBRID CWP ACCESSORY PACKAGE,5.0,5.0,0.0,0.0,60.0,230.0,0.0,
BOSS220-A002,EBOSS 220125 HYBRID CWP 240V 1P XFRM ACCESSORY PACKAGE,30.0,30.0,0.0,0.0,60.0,230.0,0.0,
BOSS220-A003,EBOSS 220125 HYBRID BHW CCV CSA EBH EH HFF 600V ACCESSORY PACKAGE,20.0,20.0,0.0,0.0,60.0,279.0,0.0,
BOSS220-A004,EBOSS 220125 HYBRID SKID BC CWP DCL 1P XFRM ACCESSORY PACKAGE,15.0,15.0,0.0,0.0,60.0,325.0,0.0,
BOSS220-A005,EBOSS 220125 HYBRID AWP CSA 600V TB ACCESSORY PACKAGE,10.0,10.0,0.0,0.0,60.0,770.0,0.0,
BOSS25PM AXXX,EBOSS 25 PM ESTIMATION ACCESSORY PACKAGE,5.0,5.0,10.0,320.0,60.0,0.0,0.0,
BOSS220HS-A001,EBOSS 220 PM SKID EH DECAL HERC ACCESSORY PACKAGE,10.0,0.0,10.0,180.0,120.0,45.0,0.0,2026-05-26
BOSS220PM AXXX,EBOSS 220 PM ESTIMATION ACCESSORY PACKAGE,10.0,10.0,10.0,720.0,60.0,0.0,0.0,
BOSS125-MTO,EBOSS 125 MTO ESTIMATION ACCESSORY PACKAGE,0.0,0.0,10.0,320.0,60.0,0.0,0.0,
